rank,title,singer
1,沙漠骆驼,展展与罗罗
2,卡路里（电影《西虹市首富》插..,火箭少女101
3,往后余生,"马良,孙茜茹"
4,只要平凡,"张杰,张碧晨"
5,无问西东,王菲
6,我的爱（慕思《觉/醒》视频主题曲）,许巍
7,至少还有你爱我,"龙梅子,王娜"
8,半壶纱,刘珂矣
9,寂寞的人伤心的歌,"龙梅子,杨海彪"
10,你不来我不老 (对唱版),"高安,西单女孩"
11,演员,薛之谦
12,《绝代风华》（天下3十周年主题曲）,许嵩
13,红颜旧,崔子格
14,沙漠骆驼,夏雨菲
15,一起红火火,凤凰传奇
16,哑巴,薛之谦
17,只羡鸳鸯不羡仙（电影同名主题曲）,安琥
18,独孤天下,李玉刚
19,You and me,林志玲
20,胡广生（电影《无名之辈》宣传推..,任素汐
21,都说,"龙梅子,老猫"
22,明智之举,许嵩
23,后来,刘若英
24,你是我今生的依靠,"冷漠,杨小曼"
25,大鱼,周深
26,我想你了,李雨儿
27,最好,薛之谦
28,狐狸（电影《二代妖精之今生有幸..,薛之谦
29,逆流成河,金南玲
30,一百万个可能,Christine Welch
31,东西,林俊呈
32,如约而至,许嵩
33,过,龙梅子
34,最美的期待,南征北战NZBZ
35,唱一首情歌,"龙梅子,冷漠"
36,38度6（DJ版）,8先生
37,风筝,关晓彤
38,风雨无阻,周华健
39,武夷来思,降央卓玛
40,暧昧,薛之谦
41,你在我的爱情里,杜德伟
42,小苹果（新年Remix版）,筷子兄弟
43,青春料理（《完美的餐厅》主题曲）,"李子璇,陈意涵"
44,风筝误,刘珂矣
45,瓜很甜,后弦
46,怒放,"龙梅子,葛荟婕"
47,终于等到你,张信哲
48,想你啦,"冷漠,龙梅子"
49,你还要我怎样,薛之谦
50,当爱已成往事,张国荣
51,后来的我们（电影《后来的我们》..,五月天
52,大王叫我来巡山,"贾乃亮,贾云馨"
53,灵魂走在大街上,韩红
54,一冷一热,戚薇
55,亲爱的 你在哪里,"龙飞,门丽"
56,我在红尘中遇见你,"张冬玲,冷漠"
57,晚安喵,艾索
58,月弯弯,陈洁仪
59,夜里不睡的人,"小山,东来东往"
60,落花成泥,鞠婧祎
61,肆无忌惮,薛之谦
62,时而,"段林希,李斯丹妮"
63,灰姑娘,郑钧
64,求带走,谢容儿
65,恋恋风尘,老狼
66,刚刚好,薛之谦
67,（一个男人）一个女人和浴室,"古天乐,谢安琪"
68,白夜,郭美美
69,伤心太平洋,任贤齐
70,花桥流水 (女生版),纳兰珠儿
71,敬自己一杯,龙梅子
72,小芳,李春波
73,My Love,刘德华
74,故乡,许巍
75,暖山,刘珂矣
76,New Silk Road,Maksim
77,当爱已成往事,"林忆莲,李宗盛"
78,勇气,梁静茹
79,那好吧,SNH48李艺彤
80,绒花,韩红
81,鬼迷心窍,周华健
82,你怎么舍得我难过,黄品源
83,飞云之下,"韩红,林俊杰"
84,最炫小苹果,"凤凰传奇,筷子兄弟"
85,美丽的牧羊姑娘,乌兰图雅
86,他一定很爱你,阿杜
87,三百六十五个祝福,蔡国庆
88,那一年,许巍
89,忠于自我,韩红
90,讲真的,曾惜
91,叹云兮,鞠婧祎
92,挪威的森林,伍佰
93,如河,张韶涵
94,玩所未玩,徐良
95,梦醉荷塘,"高安,云菲菲"
96,去年夏天,夏雨菲
97,醉赤壁,林俊杰
98,无虑（北镇文化主题曲）,刘珂矣
99,想你的时候会唱起这首歌,"冷漠,杨小曼"
100,乌兰姑娘,乌兰图雅
101,为你写诗（电影《为你写诗》同名..,"汪苏泷,周洁琼"
102,橄榄树,齐豫
103,回到拉萨,郑钧
104,凡人歌,李宗盛
105,让一切走吧,龙梅子
106,北京北京,汪峰
107,大千世界,许嵩
108,如果这就是爱情,SNH48_HO2
109,莫斯科郊外的晚上,乌兰图雅
110,笑红尘,陈淑桦
111,半首歌（正式版）,王蓉
112,嘟嘟嘟,苏仨
113,愿做菩萨那朵莲,路勇
114,草原妹妹,乌兰图雅
115,朝圣之心,韩红
116,不值得,徐若瑄
117,纸短情长,夏雨菲
118,一生所爱,"卢冠廷,莫文蔚"
119,HERO,李子璇
120,最好的年纪,陈洁仪
121,花心,周华健
122,我要你,任素汐
123,MAMI,SNH48_BLUEV
124,Matrimonio de Amor,Richard Clayderman
125,天边,云飞
126,阿果吉曲,海来阿木
127,一个女人和浴室,谢安琪
128,不见不散,孙楠
129,在何方（DJ小鱼儿版),杜歌
130,抱一抱自己,江映蓉
131,天气预爆（电影《天气预爆》同名..,筷子兄弟
132,咱当兵的人,刘斌
133,漂洋过海来看你,娃娃
134,哥谣,黑龙
135,江南,林俊杰
136,领悟,辛晓琪
137,远走高飞(Cover 金志文),Evan浩
138,越过山丘,杨宗纬
139,可不可以,夏雨菲
140,体面,夏雨菲
141,一生有你,水木年华
142,天下有情人,"周华健,齐豫"
143,Mr.Sorry,赵泳鑫
144,友情岁月（电影《黄金兄弟》插曲）,"郑伊健,陈小春,谢天华,钱嘉乐,林晓峰"
145,昙花,胡夏
146,爱的代价,张艾嘉
147,老屋,降央卓玛
148,最近比较烦,"周华健,品冠,李宗盛"
149,不要害怕,"何炅,胡莎莎"
150,有你有我,罗中旭
151,一百万个可能,虎二
152,羞答答的玫瑰静悄悄地开,胡夏
153,爱.如果可以重来,音乐铁人-刘明峰
154,归去来,"胡兵,希莉娜依"
155,栀子花开,何炅
156,东走迷,戴荃
157,雨花石,李玉刚
158,不能忘不能爱,曹越
159,放轻松,靖佩瑶
160,我以茶之名,降央卓玛
161,找到你（电影《找到你》同名主题..,李剑青
162,Another Day in Paradise,Plan Three
163,See You Again,"Wizard See,Clone"
164,庐州月,许嵩
165,《爸爸去哪儿》第六季主题曲,群星
166,言不由衷,徐佳莹
167,自由地飞,音乐铁人-刘明峰
168,重返十七岁,"鹿晗,陈嘉桦,大张伟,张丹峰,潘玮柏,刘敏涛,薛之谦,魏晨,张慧雯"
169,小半,陈粒
170,燕衔泥,眉佳
171,Favourite,Stephane Moraille
172,十九岁,赵雷
173,样子（ 电影《你好，之华》主题曲..,周迅
174,难念的经,周华健
175,天涯,任贤齐
176,鬼迷心窍,李宗盛
177,芙蓉雨,刘珂矣
178,抖音最火,颜妹
179,视而不见,宇桐非
180,小夜曲-舒伯特,新雅室内空气乐队
181,美美哒,门丽
182,风誓,刘珂矣
183,笨的可怜,"王圆坤,莫龙丹"
184,你知道（福利版）,刘扬LY
185,伤心是一种说不出的痛,黄格选
186,走马,陈粒
187,我是一只鱼,任贤齐
188,弹起我心爱的土琵琶,梦鸽
189,一千年以后,林俊杰
190,我愿人长久,李健
191,无问,毛不易
192,一时间,韩红
193,等光,孙怡
